id,name,original_name,closed,moved,address,tel,description,url
369,スタンディングルーム鈴傳,スタンディングルーム鈴傳,false,false,東京都新宿区四谷1-10,03-3351-1777,四ツ谷駅から徒歩約1分、嘉永3年（1850年）創業の老舗酒屋が営む人気の立ち呑みコーナー。酒屋が経営するだけあってレアな日本酒が揃う、日本酒マニアご用達の店でもある。日本酒に合わせるメニューも勿論豊富で、この道15年のベテランお母さんが毎日朝から、生もの、煮物、炒め物、揚げ物等季節の肴を約15品仕込んでくれる。30人程が入れる狭いスペースは、美味しい日本酒と家庭の味を求めるご常連で毎夜賑わう。,http://www.bs-tbs.co.jp/sakaba/shop/369.html
740,いづみ,いづみ,false,false,東京都荒川区東尾久8-34-8,03-3800-1881,猿沢池に近い路地を辿ると芸者置屋だった風情ある一角に遭遇。昭和42年にお茶屋だった佇まいをそそまま残して改装した古典酒場。旬の食材を使った田舎料理が中心だが、表に掲げる「鮑腸汁（ほうちょうじる）」と記された赤提灯が目を引く。由来は大分の郷土料理・だんご汁をアレンジした名物。注文すると練り込んだ小麦粉の玉を、客の前で一瞬に伸ばして麺にする職人技はまるで手品師。4種類の味噌をブレンドした汁を肴に何杯でもいけてしまう。,http://www.bs-tbs.co.jp/sakaba/shop/740.html
819,居酒屋みつる,居酒屋みつる,false,false,神奈川県川崎市高津区溝口4-6-28,044-822-3466,東急田園都市線が通る高津駅から歩くこと10分ほど。江戸時代からの用水路脇に店を構える「居酒屋みつる」。L字カウンターとテーブル席が4つのこぢんまりとした店だ。店に立つママさんとご主人の二人で店をスタートさせて17年目になるが現在ご主人は病気療養中。ご常連に「店を開けることがご主人のリハビリにも良い」と言われメニューを減らして店を続けている。この日のお通しは2品。これだけでも十分飲める。カキフライの付け合せのサラダも「野菜もたくさん食べてほしいから」と特盛。〆に選んだ鴨鍋もとても一人前とは思えない量だ。「里芋和風煮」は揚げた里芋が和風ダシに入った創作メニュー。その不思議な食感と優しい味に吉田さんも感激。ご主人がこだわったと言う日本酒のセレクトも「呑兵衛のための品揃え」と吉田さんもうなった。,http://www.bs-tbs.co.jp/sakaba/shop/819.html
468,ひょうたん,ひょうたん,false,false,市川市中山2－10－1,047-334-3433,京成線京成中山駅から徒歩30秒。通称「オケラ街道」を歩くと見えてくるのが、「もつ焼き日本一！」の看板。ディープな佇まいの「ひょうたん」は創業昭和32年創業の老舗だが、店に入ればちょっと怖そうだが優しくて明るい店主、底抜けに明るい女将と娘さん、そしてフレンドリーなご常連が客を迎えてくれる。備長炭で燻され、自慢のタレや特製ダレを潜り、客の元へと届けられるもつ焼きは、焼酎ハイボールとの相性も抜群。,http://www.bs-tbs.co.jp/sakaba/shop/468.html
601,居酒屋むさし,居酒屋むさし,false,false,東京都墨田区京島1-29-1,03-3611-6760,東口駅前の小さな酒場通りに店を構え21年。気のいいマスターが笑顔で迎えてくれる。入るとL字のカウンターと左にテーブル席3卓。駅に近いこともあって近隣の駅からのご常連も多い。メニューは魚系と揚げ物系が中心。人気は季節の刺身五点盛りやポテトサラダ、キスの天ぷらなど。味も確かで値段もリーズナブルだが、見てびっくり、いずれも驚きのボリューム。それがマスターの心意気なのだ。もったいなくも残してしまったら、お持ち帰りにも対応してくれる。,http://www.bs-tbs.co.jp/sakaba/shop/601.html
824,鳴門,鳴門,false,false,神奈川県横浜市神奈川区台町11-1,045-311-2621,地下駅から出て通りの右側にある木造アーケードの下で昭和31年に創業。座席7席の焼鳥の店。叔母を継いだ二代目は上野にある有名な本格中華料理店の料理人だった。横浜の食肉市場から仕入れる鮮度抜群の焼鳥にはキンキンに冷えた生ビールが合う。牛煮込みと常連が世界一と称えるつくねはおすすめ。もちろん中華料理もおすすめ。ジャコや大葉など具沢山の焼おにぎりを〆の勝負飯にすべし。,http://www.bs-tbs.co.jp/sakaba/shop/824.html
341,さかえや,さかえや,false,false,神奈川県横須賀市西浦賀1-1-13,046-841-0179,横須賀市浦賀の簡素な町並みに佇む「さかえや」の創業は昭和25年頃。築80年の建物にかかる縄のれんをくぐると、大きな「コの字」カウンターと優しい二代目店主が迎えてくれる。近くの海であがった旬の魚や、先代の味を引き継いだという名物「牛スジ煮込み」、そして歴史に詳しい店主の貴重な話や地元ご常連さんのとの会話を肴に、酒が進む。古き良き昭和がそのまま息づく、歴史ある酒場。,http://www.bs-tbs.co.jp/sakaba/shop/341.html
571,万葉,万葉,false,false,江東区住吉2-5-17,03-6659-6462,駅から15分ほど歩く。商店街からも離れ路地裏にポツンとある。店内は広く、テーブル席がメインだがカウンターも用意されている。陽気で話好きのママさんがひとりで営む。亡くなったご亭主が近くで酒屋をやっていて、居酒屋はママさんが始めたという。日本酒にはうるさいご亭主のセレクトで、今も珍しい各地の日本酒が並ぶ。料理メニューは数多く、みなママさんの手作り。味噌仕立ての煮込みは濃厚な味、フランスパンが添えられていて、これがよく合う。三人の娘さんが交替で店を手伝い、ご常連が集うと宴会のような賑わい。心からくつろげる店である。,http://www.bs-tbs.co.jp/sakaba/shop/571.html
408,やきとり井口,やきとり井口,false,false,東京都世田谷区北沢5-6-3,03-3468-0853,京王線笹塚駅南口の商店街を抜け、さらに奥へと進むと見えてくるのが、赤い看板の「井口」。昭和35年から地元ご常連と共に歩んできたやきとり店で、二代目夫婦と三代目が切り盛りする。毎夜通うご常連も飽きないようにと魚メニューや一品料理も豊富だが、やはりメインはやきとり。先代から続くという甘さ控えめの独特なタレが、モツの味を引き立てる。本数限定の「白レバ焼」も人気。店主が作る新鮮な野菜料理も豊富なので、是非モツ焼きと合わせたい。,http://www.bs-tbs.co.jp/sakaba/shop/408.html
218,はなふさ,はなふさ,false,false,東京都中央区築地6-5-5,03-3541-3741,築地市場の豊洲移転と跡地再開発がクローズアップされている築地は、下町風情も残り穴場。隅田川から築地市場を眺めて、昭和6年創業、暖簾の老舗をのぞいたら、築地らしさが詰まっていた。住宅街にひっそり佇む「はなふさ」は、一見、敷居が高そうだが、常連さんに支えられ、中は実にアットホーム。市場をバックに控え、さすがに食材は豊富で、魚のこだわりには並々ならぬものがある。主はもともと築地の生まれ、和洋食の修行をしてUターン。場内の仲買さんも顔を出すプロも納得の店。,http://www.bs-tbs.co.jp/sakaba/shop/218.html
